OBJECTID,CSA2010,affordr10,affordr11,affordr12,affordr13,affordr14,affordr15,affordr16,affordr17,affordr18,affordr19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,57.358653431161,53.2718489240228,49.8148909913616,44.0890688259109,51.0082,49.3618618618619,46.9422043010753,45.8967571144937,46.2643678160919,43.29058492,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,49.6369073045707,52.0553872782345,43.2704402515723,42.271714922049,48.3589,45.03367003367,42.6197836166924,42.9154757043691,43.2103610675039,49.54954955,47882527.7110596,37524.9505334171
3,Belair-Edison,60.5593607305936,65.3395784543326,44.5361959812827,41.0582323381614,71.5012,69.8763250883392,68.0391357521402,68.1415929203539,65.09544215037,60.01765225,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,48.6210804684548,51.6152189519024,38.7519260400616,36.1455108359133,53.0124,56.5974343310935,50.6737699780633,51.4935988620199,52.4627720504009,47.69174846,176077742.748718,150987.703638772
5,Canton,40.6559877955759,32.2530864197531,38.2065217391304,32.8698553948832,33.4202,30.2597402597403,28.19324950364,28.2522996057818,24.281805745554,26.85050798,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,60.3490170090568,62.7854903716973,53.8277511961722,48.2578875171468,58.8472,57.6227939613013,53.6228813559322,54.7765118317265,50.6470325747434,48.11299435,71541340.3063965,39962.5498347165
7,Cherry Hill,51.326790258088,47.7412359956632,24.203821656051,36.2989323843416,43.5,48.3290488431877,47.7916194790487,48.9278752436647,46.1780929866036,43.34255235,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,49.079754601227,55.5837563451777,36.7153284671533,34.3060498220641,61.4719,60,50.7723304231028,42.0392156862745,38.8244392884764,40.24096386,21022590.1307373,21705.411630344
9,Claremont/Armistead,50.1251877816725,49.0177287973167,45.9839357429719,34.8511383537653,47.5119,49.8183469573115,52.2717247463608,51.278600269179,50.6567425569176,50.87719298,61243774.4211426,40104.415980189
10,Clifton-Berea,67.6017601760176,59.2494714587738,40.6292749658003,52.5107604017217,55.7405,52.0671060515279,55.6206088992974,58.1761006289308,53.3159947984395,51.55642023,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,39.1271056661562,42.0218785364014,49.0183246073298,53.2091097308489,42.9045,42.7745664739884,42.2053231939164,44.4824636441402,44.7452229299363,42.16666667,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,53.5759897828863,55.3496712492528,45.0867052023121,39.6648044692737,49.653,57.0941336971351,55.0922761449077,52.6280771789753,49.7859327217125,48.75592417,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,62.7586206896552,66.0409556313993,50.2239283429303,50.0291545189504,61.5077,58.7887740029542,51.2119649303765,57.3317307692307,53.9823008849557,51.49299208,34118277.1812134,27136.0757115219
